sample	Prot1-readings	conc.	Prot1-Cal.Con.	Prot1-1	Prot2-readings	conc.	Prot2-Cal.Con.	Prot2-1	Prot3-readings	conc.	Prot3-Cal.Con.	Prot3-1	Prot4-readings	conc.	Prot4-Cal.Con.	Prot4-1	Prot5-readings	conc.	Prot5-Cal.Con.	Prot5-1	Prot6-readings	conc.	Prot6-Cal.Con.	Prot6-1	Prot7-readings	conc.	Prot7-Cal.Con.	Prot7-1	Prot8-readings	conc.	Prot8-Cal.Con.	Prot8-1	Prot9-readings	conc.	Prot9-Cal.Con.	Prot9-1	Prot10-readings	conc.	Prot10-Cal.Con.	Prot10-1
v2108022 1:50000	24178.0	-	0.87646438430718	43823.219215359	43365.0	-	2.417912424320541	120895.62121602707	391.0	-	nan	nan	14486.0	-	0.7464142865415075	37320.71432707538	20384.0	-	0.9104526700185284	45522.633500926415	75692.0	-	2.9745762827505797	148728.814137529	84332.0	-	2.8399451521185695	141997.25760592846	16959.0	-	0.6991525626319692	34957.62813159846	24710.0	-	0.8754596468308153	43772.982341540766	76434.0	-	2.875496795220941	143774.83976104707
v2108022 1:100000	2416.0	-	0.08344383228766664	8344.383228766663	4518.0	-	0.30413442610417873	30413.442610417875	191.0	-	nan	nan	1569.0	-	0.08321700092157888	8321.700092157887	2119.0	-	0.09863029949265463	9863.029949265463	7734.0	-	0.36013708383440046	36013.70838344005	8600.0	-	0.34849017851260455	34849.017851260454	1777.0	-	0.09448005259494639	9448.00525949464	2651.0	-	0.09875117981860423	9875.117981860423	8293.0	-	0.35936824949022106	35936.824949022106
V2002002B1 1:50000	14541.0	-	0.5249766232525932	26248.83116262966	42570.0	-	2.3775672467682876	118878.36233841437	342.0	-	nan	nan	12987.0	-	0.6719928150228537	33599.64075114269	15919.0	-	0.7189472427022158	35947.36213511079	80958.0	-	3.1618959178340327	158094.79589170162	59997.0	-	2.0752335178710775	103761.67589355387	13326.0	-	0.569293647028817	28464.68235144085	12658.0	-	0.44838068195590625	22419.034097795313	90887.0	-	3.379832601441728	168991.6300720864
V2002080B2 1:50000	186730.0	-	6.828128632847303	341406.4316423652	265886.0	-	12.588177729385766	629408.8864692883	4316.0	-	0.22280958860165373	11140.479430082687	73745.0	-	3.5417387131801354	177086.93565900676	167236.0	-	6.706499244385532	335324.96221927664	571291.0	-	18.527867850135628	926393.3925067814	577986.0	-	18.763301720446492	938165.0860223246	91649.0	-	2.908270083610567	145413.50418052834	167575.0	-	11.840072095673921	592003.6047836961	629222.0	-	20.794992507329603	1039749.6253664801
V2002080B2 1:100000	18928.0	-	0.6849419206048286	68494.19206048286	34701.0	-	1.9742015800995543	197420.15800995543	570.0	-	0.007936854862526788	793.6854862526787	7963.0	-	0.41914262926889695	41914.26292688969	16098.0	-	0.7266776671324637	72667.76671324637	59703.0	-	2.3974783284740253	239747.83284740252	59533.0	-	2.0604859415198162	206048.5941519816	10741.0	-	0.4733526733290242	47335.26733290242	17392.0	-	0.6138662659488258	61386.626594882575	68939.0	-	2.611538654692518	261153.8654692518
V2120041B2 1:50000	40133.0	-	1.458960764574034	72948.0382287017	83803.0	-	4.400958166989517	220047.90834947582	733.0	-	0.01882145464411704	941.0727322058519	25346.0	-	1.2763562248319067	63817.81124159534	37375.0	-	1.6210931864004208	81054.65932002103	177534.0	-	6.4411839500411725	322059.19750205864	164669.0	-	5.308904653479777	265445.23267398885	31285.0	-	1.1749481562896957	58747.40781448479	34657.0	-	1.2470608592619172	62353.04296309586	195767.0	-	6.922448243621427	346122.41218107136
V2120041B2 1:100000	4201.0	-	0.14835410925297446	14835.410925297447	9564.0	-	0.6085386991352857	60853.86991352857	210.0	-	nan	nan	2539.0	-	0.13616695529542008	13616.695529542008	4178.0	-	0.1963597221404376	19635.97221404376	20077.0	-	0.8835924636346653	88359.24636346653	17051.0	-	0.6558079798913438	65580.79798913437	3345.0	-	0.17038938600680803	17038.9386006808	3795.0	-	0.13973311699981122	13973.311699981123	20182.0	-	0.8292466407004206	82924.66407004207
V2002002B1 1:100000	1083.0	-	0.035021434526377404	3502.14345263774	3132.0	-	0.21560024887842363	21560.024887842363	185.0	-	nan	nan	951.0	-	0.0485951303666714	4859.51303666714	1344.0	-	0.06050385535701521	6050.385535701521	5885.0	-	0.27604507013205976	27604.507013205977	4307.0	-	0.18106135506895316	18106.135506895316	1037.0	-	0.05446395609329662	5446.395609329662	1002.0	-	0.037569810031278676	3756.9810031278676	6474.0	-	0.28417178030578094	28417.178030578096
V2010026B2 1:50000	54278.0	-	1.975814033511138	98790.7016755569	68389.0	-	3.658541072415475	182927.05362077375	274.0	-	nan	nan	32011.0	-	1.5958051972064922	79790.25986032462	49055.0	-	2.0984827084740956	104924.13542370478	174790.0	-	6.351027138336489	317551.3569168245	186742.0	-	5.9840381019702304	299201.90509851155	39053.0	-	1.41704785550547	70852.3927752735	48441.0	-	1.8020414020588038	90102.0701029402	187924.0	-	6.662535149956189	333126.7574978094
V2010026B2 1:100000	5501.0	-	0.19565766946952995	19565.766946952994	7273.0	-	0.4729559445069106	47295.59445069106	159.0	-	nan	nan	3396.0	-	0.18206009789105337	18206.009789105337	5103.0	-	0.23922798380448998	23922.798380449	16287.0	-	0.7277539223571973	72775.39223571973	19717.0	-	0.7492550923292716	74925.50923292716	4177.0	-	0.20792257405664621	20792.257405664623	5032.0	-	0.1834009476884026	18340.09476884026	19931.0	-	0.8195880195124007	81958.80195124006
